,game_name,platform,main_genre,develeoper,publisher,max_players,online_game,release_year,release_month,rating,meta_score,user_score,critic_positive_normelize,user_positive_normelize,exclusive_game,publisher_labeled,develeoper_labeled,main_genres_labeled,platform_labeled
0,Tharsis,"Nintendo, PC",Miscellaneous,Choice Provisions,Choice Provisions,1,0,2016,1,4,0.5511363636363636,0.5899622812268195,0.12771739130434784,0.42021753289899294,0,175,354,6,7
1,WWI Tannenberg: Eastern Front,PlayStation,Action,M2H,Blackmill Games,40,1,2020,7,4,0.5681818181818182,0.8510638297872343,0.3,0.06136728295538867,1,121,1089,0,39
2,Dungeons 2,PlayStation,General,Kalypso,Kalypso,4,1,2016,5,3,0.5681818181818182,0.6702127659574468,0.1111111111111111,0.1825232487197027,1,495,991,5,39
3,WE ARE DOOMED,PlayStation,Action,Vertex Pop,Vertex Pop,1,0,2015,4,1,0.5681818181818182,0.5957446808510639,0.2222222222222222,0.12471734104776462,1,963,2032,0,39
4,Sixty Second Shooter Prime,Xbox,Action,Happion Laboratories,Happion Laboratories,1,0,2014,6,1,0.5681818181818182,0.723404255319149,0.0,0.12468601338740685,1,423,821,0,45
5,Tom Clancy's Ghost Recon Advanced Warfighter 2,"PlayStation, Xbox",Action,High Voltage Software,Ubisoft,2,1,2007,3,3,0.75,0.6985815602836881,0.6762452107279694,0.4744207083528527,0,948,854,0,42
6,Rayman 3D,Nintendo,Action,Ubisoft Casablanca,Ubisoft,1,0,2011,3,1,0.5681818181818182,0.6489361702127661,0.15384615384615385,0.22181598143320727,1,948,1984,0,0
7,Arcade Classics Anniversary Collection,Nintendo,Miscellaneous,Konami,Konami,1,0,2019,4,3,0.5681818181818182,0.5000000000000001,0.07692307692307693,0.6631653562348107,1,507,1017,6,0
8,The Lord of the Rings: War in the North,Xbox,Role-Playing,Snowblind Studios,Warner Bros. Interactive Entertainment,3,0,2011,11,4,0.5681818181818182,0.7446808510638299,0.20833333333333334,0.4926397205588822,1,980,1714,9,45
9,Harry Potter and the Order of the Phoenix,"Nintendo, PlayStation",Action Adventure,EA Games,EA Games,1,0,2007,6,2,0.49621212121212127,0.599290780141844,0.1087344028520499,0.17322144275940088,0,276,557,1,14
10,MX vs. ATV Alive,PlayStation,Arcade,THQ Digital Studio Phoenix,THQ,12,1,2011,5,1,0.5681818181818182,0.6702127659574468,0.14634146341463414,0.1108320118999172,1,875,1833,3,39
11,Dynasty Warriors 5 Empires,Xbox,Action,Omega Force,Koei,2,0,2006,3,3,0.5681818181818182,0.8404255319148937,0.175,0.1968986836856801,1,505,1327,0,45
12,Friday the 13th: The Game,"PC, Xbox",Action Adventure,IllFonic,Gun Media,1,0,2017,5,4,0.5227272727272727,0.6489361702127661,0.08695652173913043,0.4243806952986181,0,417,904,1,38
13,Lust from Beyond,PC,Adventure,Movie Games S.A.,Movie Games S.A.,1,0,2021,3,3,0.5681818181818182,0.6914893617021277,0.05555555555555555,0.19235089791556945,1,596,1221,2,31
14,Sword Art Online: Fatal Bullet,PC,Action,Dimps Corporation,Bandai Namco Games,8,1,2018,2,3,0.5681818181818182,0.7340425531914895,0.14285714285714285,0.36918539797342803,1,97,518,0,31
15,WRC 3: FIA World Rally Championship,PC,Racing,Milestone S.r.l,Plug In Digital,1,0,2013,4,3,0.5681818181818182,0.7659574468085107,0.1,0.209407801363133,1,709,1181,8,31
16,Shaun White Skateboarding,"PlayStation, Xbox",Sports,Ubisoft Montreal,Ubisoft,8,1,2010,10,3,0.5681818181818182,0.5957446808510639,0.1165158371040724,0.05177034724843242,0,948,1988,13,42
17,The Lord of the Rings: Conquest,"Nintendo, PC, PlayStation, Xbox",General,Artificial Mind and Movement,Electronic Arts,1,0,2009,1,2,0.5198863636363636,0.7127659574468085,0.06834291187739464,0.2918430579255508,0,290,133,5,11
18,Dokapon Kingdom,PlayStation,General,Sting,Atlus Co.,4,1,2008,10,2,0.5681818181818182,0.723404255319149,0.375,0.08672862439924303,1,82,1766,5,39
19,Loki,PC,Role-Playing,Cyanide,DreamCatcher Interactive,6,1,2007,10,4,0.5681818181818182,0.5744680851063831,0.14285714285714285,0.1805029011459392,1,270,437,9,31
20,Medieval Moves: Deadmund's Quest,PlayStation,General,Zindagi Games,SCEA,2,1,2011,11,2,0.5681818181818182,0.7127659574468086,0.1951219512195122,0.15751894694854407,1,768,2140,5,39
21,Ninety-Nine Nights,Xbox,Action,Phantagram,Microsoft Game Studios,1,0,2006,8,4,0.5681818181818182,0.6702127659574468,0.15151515151515152,0.2904303778849292,1,577,1392,0,45
22,Future Tactics: The Uprising,PlayStation,Strategy,Zed Two Limited,Crave,2,0,2004,5,3,0.5681818181818182,0.6170212765957448,0.04,0.04533001721828965,1,205,2133,14,39
23,The Sinking City,Nintendo,Action Adventure,Frogwares,Frogwares,1,0,2019,9,4,0.5681818181818182,0.8191489361702129,0.09090909090909091,0.4712293000210161,1,347,687,1,0
24,The Good Life,"Nintendo, PlayStation",General,White Owls,Playism,1,0,2021,10,3,0.5056818181818182,0.6010638297872342,0.08881578947368421,0.06541143107239525,0,706,2090,5,14
25,King Arthur,"Old Platform, PlayStation, Xbox",Action Adventure,Krome Studios,Konami,2,0,2004,11,3,0.5568181818181818,0.7511553820612913,0.08340548340548341,0.26320101248192973,0,507,1022,1,27
26,Galactic Wrestling: Featuring Ultimate Muscle,PlayStation,Action,Aki Corp.,Bandai,4,1,2004,6,3,0.5681818181818182,0.8191489361702129,0.0,0.06044002295771953,1,95,75,0,39
27,Yu-Gi-Oh! Reshef of Destruction,Nintendo,Miscellaneous,Konami,Konami,2,0,2004,6,1,0.5681818181818182,0.7340425531914895,0.4166666666666667,0.12298221756236309,1,507,1017,6,0
28,Beam Breakers,PC,Arcade,Similis,JoWooD Entertainment AG,6,1,2002,10,1,0.5681818181818182,0.6914893617021277,0.18181818181818182,0.0460254622165415,1,489,1678,3,31
29,Disney's Aladdin in Nasira's Revenge,PlayStation,Action,Argonaut Games,SCEA,1,0,2001,3,1,0.5681818181818182,0.7340425531914895,0.18181818181818182,0.14631295660697022,1,768,116,0,39
30,The Messenger (2001),PC,General,Index Multimedia,DreamCatcher Interactive,1,0,2001,2,3,0.5681818181818182,0.7012011581983197,0.14285714285714285,0.6631653562348107,1,270,918,5,31
31,Skully,"Nintendo, PC",Action,Finish Line Games,Modus Games,1,0,2020,8,1,0.5681818181818182,0.7340425531914894,0.15384615384615385,0.34741014311782614,0,587,650,0,7
32,Hunter's Legacy,"PC, Xbox",Action,Lienzo,Lienzo,1,0,2016,7,1,0.5511363636363636,0.7012011581983197,0.11309523809523808,0.0,0,522,1057,0,38
33,Into the Stars,PC,General,Fugitive Games,Fugitive Games,1,0,2016,3,3,0.5681818181818182,0.3510638297872341,0.23529411764705882,0.026960968382819805,1,352,697,5,31
34,Neopets: The Darkest Faerie,PlayStation,Adventure,Idol Minds,SCEA,1,0,2005,11,2,0.5681818181818182,0.8617021276595747,0.2222222222222222,0.3070804693466639,1,768,901,2,39
35,Hunted: The Demon's Forge,"PC, PlayStation, Xbox",General,InXile Entertainment,Bethesda Softworks,2,1,2011,5,4,0.5530303030303031,0.648936170212766,0.0482758074981405,0.34878165755104523,0,106,914,5,35
36,Hellbound,PC,Action,Saibot Studios,Saibot Studios,1,0,2020,8,3,0.5681818181818182,0.6170212765957448,0.09523809523809523,0.10365203468629117,1,780,1622,0,31
37,Raging Justice,PlayStation,Action,MakinGames,Team17,1,0,2018,5,3,0.5681818181818182,0.6063829787234043,0.0,0.030683641477694337,1,890,1117,0,39
38,Nikoli's Pencil Puzzle,Nintendo,General,NATSUME ATARI Inc.,Konami,1,0,2011,10,1,0.5681818181818182,0.7012011581983197,0.14285714285714285,0.031161718984265264,1,507,1232,5,0
39,Rayman: Hoodlum's Revenge,Nintendo,Action,Backbone Entertainment,Ubisoft,1,0,2005,3,1,0.5681818181818182,0.5744680851063831,0.16666666666666666,0.030220011478859766,1,948,171,0,0
40,Shadowrun Chronicles: Boston Lockdown,PC,General,Cliffhanger Productions,Cliffhanger Productions,1,0,2014,3,3,0.5681818181818182,0.7127659574468086,0.047619047619047616,0.3042365556708502,1,184,368,5,31
41,Maglam Lord,PlayStation,Role-Playing,Felistella,PQube,1,0,2022,2,3,0.5681818181818182,0.7012011581983197,0.0,0.6631653562348107,1,673,649,9,39
42,Poison Control,Nintendo,Role-Playing,Nippon Ichi Software,NIS America,1,0,2021,4,3,0.5681818181818182,0.5851063829787235,0.07142857142857142,0.0595403676606395,1,608,1285,9,0
43,Seven Knights -Time Wanderer-,Nintendo,General,Netmarble Games Corp.,Netmarble Games Corp.,1,0,2020,11,3,0.5681818181818182,0.7012011581983197,0.3333333333333333,0.6631653562348107,1,624,1260,5,0
44,Destiny 2: Warmind,Xbox,Action,Bungie,Activision,1,0,2018,5,3,0.5681818181818182,0.36170212765957455,0.0,0.12016862980094005,1,41,301,0,45
45,Filthy Lucre,PlayStation,Action,Fabrik Games,Fabrik Games,2,0,2016,9,4,0.5681818181818182,0.6489361702127661,0.125,0.0595403676606395,1,312,636,0,39
46,Redux: Dark Matters,PC,Action,NG:DEV.TEAM,NG:DEV.TEAM,1,0,2014,12,3,0.5681818181818182,0.5425531914893619,0.14285714285714285,0.015580859492132632,1,607,1235,0,31
47,Captain America: Super Soldier,"Nintendo, PlayStation, Wii, Xbox",Action,Next Level Games,Sega,1,0,2011,7,3,0.5255681818181819,0.7101063829787235,0.02818627450980392,0.1834741455461546,0,791,1270,0,16
48,Blood Bowl,Xbox,Arcade,Cyanide,Focus Home Interactive,1,0,2010,1,3,0.5681818181818182,0.5000000000000001,0.10714285714285714,0.0997738728382117,1,332,437,3,45
49,Shadow Ops: Red Mercury,"PC, Xbox",Action,Zombie,Atari,8,1,2004,6,3,0.5681818181818182,0.5797872340425534,0.12013888888888889,0.0887000162937561,0,79,2145,0,38
50,Cities XL 2012,PC,Strategy,Monte Cristo Multimedia,Focus Home Interactive,1,0,2011,10,1,0.5681818181818182,0.5638297872340426,0.05555555555555555,0.2032137607309941,1,332,1210,14,31
51,Acceleration of SUGURI X-Edition,PlayStation,Action,Rockin' Android,Sony Online Entertainment,1,0,2011,2,2,0.5681818181818182,0.5531914893617023,0.2,0.0831240089249379,1,827,1566,0,39
52,Ashwalkers: A Survival Journey,PC,Adventure,Nameless XIII,Dear Villagers,1,0,2021,4,3,0.5681818181818182,0.7012011581983197,0.3076923076923077,0.0,1,234,1243,2,31
53,Downward Spiral: Horus Station,PlayStation,Adventure,3rd Eye Studios Oy LTD,3rd Eye Studios Oy LTD,1,1,2018,9,3,0.5681818181818182,0.47872340425531923,0.1,0.05781908293282869,1,20,32,2,39
54,Frogger,Xbox,Action,Digital Eclipse,Konami,2,1,2006,7,1,0.5681818181818182,0.521276595744681,0.17647058823529413,0.0,1,507,506,0,45
55,Wizardry: Labyrinth of Lost Souls,"PC, PlayStation",Role-Playing,Acquire,XSEED Games,1,0,2011,5,3,0.5454545454545454,0.6325154727161812,0.16666666666666666,0.04718169466993466,0,1010,63,9,32
56,Reign of Fire,"Nintendo, Old Platform, PlayStation, Xbox",Action,Crawfish Interactive,Bam Entertainment,1,0,2002,10,3,0.5142045454545455,0.7521963237800109,0.07118055555555555,0.18934758242811775,0,94,412,0,5
57,Micro Machines V4,"PC, PlayStation",Arcade,Supersonic Software,Codemasters,4,1,2006,6,1,0.5454545454545454,0.728260153567245,0.13095238095238093,0.08119747946819837,0,190,1813,3,32
58,Infini,Nintendo,General,Barnaque,Nakana.io,1,0,2020,7,3,0.5681818181818182,0.797872340425532,0.3,0.13664690840262567,1,611,181,5,0
59,Dead by Daylight,"Nintendo, Xbox",Action Adventure,505 Games,Behaviour Interactive,5,1,2017,6,4,0.5511363636363636,0.3829787234042554,0.2,0.18419036410168235,0,103,40,1,19
60,Atomic Ninjas,PlayStation,Action,Grip Games,Grip Games,1,0,2013,10,3,0.5511363636363636,0.6170212765957448,0.0625,0.3613528619477251,1,414,799,0,39
61,NCAA GameBreaker 2004,PlayStation,Sim,989 Sports,SCEA,8,1,2003,8,1,0.5681818181818182,0.7012011581983197,0.06666666666666667,0.016082002329426522,1,768,45,11,39
62,Speed Kings,"Old Platform, PlayStation, Xbox",Racing,Climax Group,Acclaim,2,0,2003,5,1,0.5568181818181818,0.7550103151441209,0.1972934472934473,0.06389695234589203,0,35,370,8,27
63,Bloody Roar Extreme,Xbox,Action,Eighting/Raizing,Konami,2,0,2003,5,3,0.5681818181818182,0.7872340425531916,0.09090909090909091,0.11238904996531421,1,507,592,0,45
64,CSI: Crime Scene Investigation,"PC, Xbox",Adventure,369 Interactive,Ubisoft,1,0,2003,3,4,0.4772727272727273,0.7180851063829787,0.13157894736842105,0.0695321099458948,0,948,26,2,38
65,World War II: Panzer Claws,PC,General,Zuxxez,Eidos Interactive,8,1,2002,11,3,0.5681818181818182,0.6808510638297873,0.25,0.09834041871964994,1,289,2151,5,31
66,AirForce Delta Storm,Xbox,Simulation,KCE Studios,Konami,1,0,2001,11,1,0.5681818181818182,0.7127659574468086,0.14285714285714285,0.0595403676606395,1,507,979,12,45
67,ESPN International Track & Field,Old Platform,Sports,KCEO,Konami,1,0,2000,9,1,0.5681818181818182,0.7012011581983197,0.4,0.6631653562348107,0,507,983,13,20
68,Sonic the Hedgehog 4: Episode II,Xbox,Action,Sega,Sega,1,0,2012,5,1,0.5681818181818182,0.6808510638297873,0.16129032258064516,0.40661625503995835,1,791,1641,0,45
69,Godfall,"PC, PlayStation",Role-Playing,Counterplay Games,Gearbox Publishing,3,0,2020,11,3,0.5568181818181819,0.398936170212766,0.04815100154083205,0.25257435461946365,0,390,403,9,32
70,Green Lantern: Rise of the Manhunters,"PlayStation, Xbox",General,Double Helix Games,Warner Bros. Interactive Entertainment,1,0,2011,6,3,0.5568181818181819,0.7074468085106383,0.0,0.17777862448369697,0,980,532,5,42
71,Mafia II: Joe's Adventures,Xbox,General,2K Czech,2K Games,1,0,2010,11,4,0.5681818181818182,0.7127659574468086,0.25,0.24420980743274126,1,11,16,5,45
72,Sengoku Basara: Samurai Heroes,PlayStation,Action,Capcom,Capcom,1,0,2010,10,3,0.5681818181818182,0.8297872340425533,0.10810810810810811,0.31518792351631275,1,161,324,0,39
73,Dual Blades,Nintendo,Action,Metro3D,Metro3D,2,0,2002,10,4,0.5681818181818182,0.7012011581983197,0.2222222222222222,0.016082002329426522,1,569,1161,0,0
74,Bee Simulator,"PC, PlayStation, Xbox",General,Varsav Game Studios,Bigben Interactive,1,0,2019,11,1,0.5037878787878788,0.5886524822695036,0.10822510822510822,0.16391588120740644,0,113,2023,5,35
75,The Walking Dead Onslaught,"PC, PlayStation",Action Adventure,Survios,Survios,1,0,2020,9,4,0.5397727272727273,0.6276595744680852,0.08333333333333333,0.34716353760953794,0,870,1817,1,32
76,Over the Hedge,"Nintendo, Old Platform, PlayStation, Xbox",Action,Edge of Reality,Activision,2,0,2006,5,2,0.5255681818181819,0.778792068460862,0.13879941897183276,0.2575119236640775,0,41,584,0,5
77,Star Wars: Lethal Alliance,"Nintendo, PlayStation",General,Ubisoft Montreal,Ubisoft,2,0,2006,12,3,0.5454545454545454,0.6963452599502238,0.08279569892473118,0.37494699031702683,0,948,1988,5,14
78,Staxel,Nintendo,Strategy,Plukit,Plukit,1,0,2021,9,1,0.5681818181818182,0.7012011581983197,0.14285714285714285,0.016082002329426522,1,710,1433,14,0
79,Sheltered,Nintendo,Strategy,Unicube,Team17,1,0,2018,12,3,0.5681818181818182,0.7012011581983197,0.0,0.6631653562348107,1,890,2002,14,0
80,Deadbeat Heroes,Xbox,Action,Deadbeat Studios,Square Enix,2,0,2017,10,3,0.5681818181818182,0.7012011581983197,0.0,0.0,1,840,472,0,45
81,Midway Arcade Origins,Xbox,Miscellaneous,Backbone Entertainment,Warner Bros. Interactive Entertainment,1,0,2012,11,3,0.5681818181818182,0.7659574468085107,0.09090909090909091,0.07442545957579938,1,980,171,6,45
82,Scooby-Doo! Unmasked,PlayStation,Action,Artificial Mind and Movement,THQ,1,0,2005,9,1,0.5681818181818182,0.8617021276595747,0.1111111111111111,0.22449121388597632,1,875,133,0,39
83,TMNT,"Nintendo, PC, PlayStation, Wii, Xbox",Action,Ubisoft Montreal,Ubisoft,1,0,2007,3,2,0.46780303030303033,0.5744680851063829,0.06308465661306968,0.10770879746554261,0,948,1988,0,10
84,Pac-Man World 3,"Nintendo, PlayStation",Action,Blitz Games,Namco,1,0,2005,12,1,0.4715909090909091,0.7446808510638299,0.1111111111111111,0.09720503832966906,0,612,253,0,14
85,Ninja Blade,PC,General,From Software,Noviy Disk,1,0,2009,10,4,0.5681818181818182,0.6170212765957448,0.18181818181818182,0.23189852604380762,1,644,688,5,31
86,Mini Ninjas,Nintendo,General,Magic Pockets,Eidos Interactive,1,0,2009,9,2,0.5681818181818182,0.7765957446808511,0.2,0.6631653562348107,1,289,1110,5,0
87,Ganryu 2: Hakuma Kojiro,Nintendo,Action,Storybird,Pixelheart,1,0,2022,4,2,0.5681818181818182,0.7012011581983197,0.25,0.0,1,699,1776,0,0
88,Terminator: Resistance - Annihilation Line,PC,Action,Teyon,Reef Entertainment,1,0,2021,12,4,0.5681818181818182,0.8297872340425533,0.14285714285714285,0.1729153123536921,1,748,1881,0,31
89,Panorama Cotton,Nintendo,Action,Success,ININ Games,1,0,2021,10,2,0.5681818181818182,0.7012011581983197,0.125,0.0,1,457,1800,0,0
90,Island Time VR,PlayStation,Action Adventure,Flight School Studio,Flight School Studio,1,0,2018,4,2,0.5681818181818182,0.5319148936170214,0.3333333333333333,0.6631653562348107,1,329,663,1,39
91,The Dark Eye: Demonicon,PC,General,Noumena Productions,Kalypso,1,0,2013,10,0,0.5681818181818182,0.6595744680851064,0.0,0.2783608645348215,1,495,1302,5,31
92,Unchained Blades,PlayStation,Role-Playing,FuRyu,XSEED Games,1,0,2012,6,3,0.5681818181818182,0.6914893617021277,0.25,0.12298221756236309,1,1010,696,9,39
93,Smash Cars,PlayStation,Driving,Creat Studios,Metro3D,6,1,2009,8,1,0.5681818181818182,0.6382978723404256,0.0,0.09697801041242755,1,569,415,4,39
94,Dead to Rights: Retribution,"PlayStation, Xbox",Action,Volatile Games,Namco Bandai Games America,1,0,2010,4,4,0.5625,0.6542553191489362,0.13139204545454547,0.1955255132692911,0,614,2061,0,42
95,The Guild 2,PC,General,4Head Studios,Aspyr,1,0,2006,10,3,0.5681818181818182,0.7021276595744682,0.1111111111111111,0.25756237550037636,1,75,36,5,31
96,F1 2015,PC,Racing,Codemasters,Codemasters,1,0,2015,7,1,0.5681818181818182,0.3936170212765958,0.07692307692307693,0.1501712195279627,1,190,380,8,31
97,Gretzky NHL,PlayStation,Sim,Page 44 Studios,SCEA,2,1,2005,3,1,0.5681818181818182,0.7553191489361704,0.13043478260869565,0.08672862439924303,1,768,1359,11,39
98,The Hobbit,"Old Platform, PlayStation",Adventure,Inevitable Entertainment,Sierra Entertainment,1,0,2003,11,1,0.5568181818181819,0.845744680851064,0.20588235294117646,0.22146379504913666,0,801,920,2,25
99,Nexagon: Deathmatch,PC,General,Strategy First,Strategy First,2,0,2003,7,3,0.5681818181818182,0.7012011581983197,0.15384615384615385,0.6631653562348107,1,852,1783,5,31
100,Soldier of Fortune II: Double Helix,Xbox,Action,Gratuitous Games,Activision,12,1,2003,6,4,0.5681818181818182,0.6276595744680852,0.19230769230769232,0.10640942298688744,1,41,789,0,45
101,Whirl Tour,"Old Platform, PlayStation",Sports,Papaya Studios,VU Games,2,0,2002,11,1,0.5511363636363636,0.7340425531914895,0.15555555555555556,0.3618026895962651,0,956,1369,13,25
102,The Simpsons Road Rage,Xbox,Arcade,Fox Interactive,Electronic Arts,2,0,2001,12,3,0.5681818181818182,0.7553191489361704,0.17647058823529413,0.04674257847639789,1,290,674,3,45
103,Disney's Tarzan Untamed,"Old Platform, PlayStation",Action,Ubisoft Montreal,Ubisoft,1,0,2001,11,1,0.5568181818181819,0.7021276595744681,0.16233766233766234,0.05999019530917951,0,948,1988,0,25
104,Illbleed,Old Platform,Action Adventure,Crazy Games,AIA,1,0,2001,4,4,0.5681818181818182,0.8936170212765958,0.0,0.2552757617606441,0,28,413,1,20
105,BANG! Gunship Elite,Old Platform,Sci-Fi,Rayland Interactive,Red Storm Entertainment,1,0,2000,12,1,0.5681818181818182,0.8191489361702129,0.0,0.03165493000084167,0,744,1507,10,20
106,Jump Force,"PC, PlayStation, Xbox",Action,Spike Chunsoft Co. Ltd.,Bandai Namco Games,2,0,2019,2,3,0.5454545454545454,0.45744680851063846,0.12395833333333334,0.2500863968300942,0,97,1739,0,35
107,From Russia With Love,PlayStation,Action,Rebellion,Electronic Arts,6,1,2006,4,3,0.5681818181818182,0.7021276595744682,0.15151515151515152,0.1108320118999172,1,290,1520,0,39
108,Fahrenheit: Indigo Prophecy Remastered,PC,Action,Aspyr,Aspyr,1,0,2015,1,4,0.5681818181818182,0.7659574468085107,0.2222222222222222,0.6351052879873054,1,75,144,0,31
109,F1 Race Stars: Powered Up Edition,Wii,Arcade,Codemasters,Codemasters,1,0,2014,1,1,0.5681818181818182,0.7021276595744682,0.125,0.6631653562348107,1,190,380,3,43
110,Wanted: Weapons of Fate,PlayStation,Action,GRIN,Warner Bros. Interactive Entertainment,1,0,2009,3,4,0.5681818181818182,0.7021276595744682,0.16071428571428573,0.19235089791556945,1,980,717,0,39
111,Root Beer Tapper,Xbox,Action,Digital Eclipse,Midway,2,1,2007,2,1,0.5681818181818182,0.6595744680851064,0.0,0.0460254622165415,1,578,506,0,45
112,JoJo's Bizarre Adventure: Eyes of Heaven,PlayStation,Action,CyberConnect2,Bandai Namco Games,4,1,2016,6,3,0.5681818181818182,0.8085106382978725,0.17142857142857143,0.5858313189178449,1,97,440,0,39
113,Metal Max Xeno,PlayStation,General,Cattle Call,NIS America,1,0,2018,9,3,0.5681818181818182,0.5851063829787235,0.16666666666666666,0.11813921021140805,1,608,336,5,39
114,Lost Planet 3,"PC, Xbox",Action,Spark Unlimited,Capcom,1,0,2013,8,3,0.5511363636363636,0.6063829787234043,0.1347469220246238,0.39859214245634844,0,161,1733,0,38
115,Jeremy McGrath's Offroad,"PlayStation, Xbox",Racing,2XL Games,D3Publisher,8,1,2012,6,1,0.5625,0.6542553191489363,0.2048611111111111,0.0663569383118777,0,219,21,8,42
116,Monster Jam Steel Titans 2,"PC, PlayStation, Xbox",Arcade,Rainbow Studios,THQ Nordic,6,1,2021,3,3,0.5454545454545454,0.6518646019194473,0.08333333333333333,0.22633094041174384,0,876,1496,3,35
117,The Crew,PlayStation,Racing,Ubisoft Reflections,Ubisoft,8,1,2014,12,3,0.5681818181818182,0.5319148936170214,0.16666666666666666,0.4356267634727118,1,948,1991,8,39
118,E.Y.E: Divine Cybermancy,PC,Role-Playing,Streum On Studio,Streum On Studio,1,0,2011,7,0,0.5681818181818182,0.7021276595744682,0.22727272727272727,0.47294813275774833,1,853,1785,9,31
119,Class of Heroes,PlayStation,General,Zerodiv,Atlus,1,0,2009,6,3,0.5681818181818182,0.723404255319149,0.25,0.08549284492650083,1,81,2139,5,39
120,Disney's Kim Possible: Kimmunicator,Nintendo,Action,Artificial Mind and Movement,Buena Vista Games,1,0,2005,11,1,0.5681818181818182,0.8085106382978725,0.21428571428571427,0.07442545957579938,1,147,133,0,0
121,Sacred Citadel,PC,Action,Southend Interactive,Deep Silver,3,0,2013,4,3,0.5681818181818182,0.5531914893617023,0.06666666666666667,0.20719276907300088,1,237,1731,0,31
122,Aqua,Xbox,Action,Games Distillery,Microsoft Game Studios,1,0,2010,5,2,0.5681818181818182,0.8297872340425533,0.16666666666666666,0.2020678825790647,1,577,742,0,45
123,Desperate Housewives: The Game,PC,Miscellaneous,Liquid Entertainment,Buena Vista Games,1,0,2006,10,3,0.5681818181818182,0.6170212765957448,0.21428571428571427,0.11511702479124694,1,147,1064,6,31
124,LifeSigns: Surgical Unit,Nintendo,General,Spike,DreamCatcher Interactive,1,0,2007,11,3,0.5681818181818182,0.8404255319148937,0.23529411764705882,0.07442545957579938,1,270,1737,5,0
125,Stacked with Daniel Negreanu,"PC, Xbox",Miscellaneous,5000ft,Myelin Media,10,1,2006,5,3,0.5284090909090909,0.6325154727161812,0.13823529411764707,0.05171778632515056,0,603,39,6,38
126,.hack//G.U. vol. 2//Reminisce,PlayStation,Role-Playing,CyberConnect2,Namco Bandai Games America,1,0,2007,5,3,0.5681818181818182,0.8510638297872343,0.14285714285714285,0.23758242287144438,1,614,440,9,39
127,PaRappa the Rapper Remastered,PlayStation,Action,NanaOn-Sha,Sony Interactive Entertainment,1,0,2017,4,1,0.5681818181818182,0.5319148936170214,0.14705882352941177,0.2597796658601316,1,826,1244,0,39
128,Dynasty Warriors 9 Empires,"Nintendo, PC, PlayStation",Action,Koei Tecmo Games,Koei Tecmo Games,1,0,2021,12,3,0.5,0.9326241134751774,0.06060606060606061,0.676540705908066,0,506,1014,0,8
129,Monkey King: Hero is Back,PlayStation,Action,HexaDrive,Oasis Games,1,0,2019,10,3,0.5681818181818182,0.6595744680851064,0.16666666666666666,0.24696106251416866,1,652,847,0,39
130,Detective Gallo,Nintendo,Adventure,Footprints Games,Adventure Productions,1,0,2018,8,1,0.5681818181818182,0.6063829787234043,0.3,0.05866710244830045,1,44,668,2,0
131,Earthfall,"PC, PlayStation, Xbox",Action,Holospark,Holospark,1,1,2018,7,3,0.5227272727272728,0.5390070921985816,0.07346491228070175,0.04989600108734226,0,440,860,0,35
132,Destiny 2: Curse of Osiris,"PC, PlayStation, Xbox",Action,Bungie,Activision,16,1,2017,12,3,0.5378787878787878,0.13829787234042554,0.06084656084656084,0.06912689520399669,0,41,301,0,35
133,Ninja Shodown,Nintendo,Miscellaneous,Bitmap Bureau,Rising Star Games,1,0,2017,10,3,0.5681818181818182,0.7012011581983197,0.14285714285714285,0.6631653562348107,1,760,228,6,0
134,Has-Been Heroes,"Nintendo, PlayStation",General,"Frozenbyte, Inc.",GameTrust,1,0,2017,3,2,0.5227272727272727,0.696808510638298,0.12142857142857143,0.2943553309524639,0,374,695,5,14
135,Armikrog,"PC, PlayStation, Xbox",Adventure,Versus Evil,Versus Evil,1,0,2015,9,2,0.5113636363636364,0.6205673758865249,0.0844017094017094,0.10475490234798035,0,962,2030,2,35
136,Batman: Arkham Knight - A Matter of Family,PlayStation,Action Adventure,Rocksteady Studios,Warner Bros. Interactive Entertainment,1,0,2015,7,4,0.5681818181818182,0.723404255319149,0.1111111111111111,0.3131688119866969,1,980,1573,1,39
137,SimCity: Cities of Tomorrow Expansion Pack,PC,Strategy,Maxis,Electronic Arts,1,0,2013,11,2,0.5681818181818182,0.37234042553191493,0.2,0.19232998955232086,1,290,1137,14,31
138,Emergency 2012,PC,Action,ValuSoft,ValuSoft,1,0,2010,11,3,0.5681818181818182,0.5638297872340426,0.3333333333333333,0.015580859492132632,1,958,2017,0,31
139,Football Genius - The Ultimate Quiz,Xbox,Miscellaneous,RTL,RTL,1,0,2009,9,1,0.5681818181818182,0.7012011581983197,0.0,0.6631653562348107,1,727,1489,6,45
140,The Spiderwick Chronicles,"Nintendo, PC, Xbox",General,Stormfront Studios,Sierra Entertainment,1,0,2008,2,2,0.5568181818181818,0.7012011581983199,0.14696969696969697,0.45266188082348763,0,801,1774,5,13
141,Fullmetal Alchemist: Trading Card Game,Nintendo,Miscellaneous,Magellan Interactive,Destineer,2,1,2007,10,3,0.5681818181818182,0.7659574468085107,0.0,0.6631653562348107,1,244,1105,6,0
142,Surf's Up,"PlayStation, Xbox",Sports,Ubisoft,Ubisoft,1,0,2007,5,2,0.5568181818181819,0.5691489361702129,0.06666666666666667,0.03033591897856841,0,948,1980,13,42
